national	Ghana	2025/26	Home	169.00	219.00			Ghana 2025/26 Home Shirt	ghana-2025-26-home-shirt	1364414b	4	25-26 Ghana Home Player Version Cheap Soccer Jerseys Yupoo
national	Ghana	2026	Away	169.00	219.00			Ghana 2026 Away Shirt	ghana-2026-away-shirt	0e3869ab	6	2026 Ghana Away Player Version Cheap Soccer Jerseys Yupoo
national	Ghana	2026	Home	169.00	219.00			Ghana 2026 Home Shirt	ghana-2026-home-shirt	345028fc	8	Mens Ghana 2026 World Cup Home Jersey
national	Guatemala	2025/26	Away	169.00	219.00			Guatemala 2025/26 Away Shirt	guatemala-2025-26-away-shirt	434f1fdb	2	25-26 Guatemala Away Cheap Soccer Jerseys Yupoo
national	Guatemala	2026/27	Home	169.00	219.00			Guatemala 2026/27 Home Shirt	guatemala-2026-27-home-shirt	3d6f696d	2	26-27 Guatemala Home Cheap Soccer Jerseys Yupoo
national	Haiti	2026	Away	169.00	219.00			Haiti 2026 Away Shirt	haiti-2026-away-shirt	b01e1c13	0	Mens Haiti 2026 World Cup Away Jersey
national	Haiti	2026	Home	169.00	219.00			Haiti 2026 Home Shirt	haiti-2026-home-shirt	46612fa3	0	Mens Haiti 2026 World Cup Home Jersey
national	Haiti	2026	Third	169.00	219.00			Haiti 2026 Third Shirt	haiti-2026-third-shirt	571b8dd9	0	Mens Haiti 2026 World Cup Third Jersey
national	Haiti	2026/27	Away	169.00	219.00			Haiti 2026/27 Away Shirt	haiti-2026-27-away-shirt	63149c81	0	26-27 Haiti Away Cheap Soccer Jerseys Yupoo
national	Haiti	2026/27	Home	169.00	219.00			Haiti 2026/27 Home Shirt	haiti-2026-27-home-shirt	ffb9e2b1	2	26-27 Haiti Home Cheap Soccer Jerseys Yupoo
previous	Hamburger SV	2025/26	Away	129.00	169.00	169.00	219.00	Hamburger SV 2025/26 Away Shirt	hamburger-sv-2025-26-away-shirt	9243f857	2	25-26 Hamburger Away Cheap Soccer Jerseys Yupoo
previous	Hellas Verona	2025/26	Home	129.00	169.00	169.00	219.00	Hellas Verona 2025/26 Home Shirt	hellas-verona-2025-26-home-shirt	a5d27ee4	2	25-26 Verona 120th AnniversaryCheap Soccer Jerseys Yupoo
national	Honduras	2026/27	Away	169.00	219.00			Honduras 2026/27 Away Shirt	honduras-2026-27-away-shirt	6ba9d4e170	0	26-27 Honduras Away Cheap Soccer Jerseys Yupoo
national	Honduras	2026/27	Home	169.00	219.00			Honduras 2026/27 Home Shirt	honduras-2026-27-home-shirt	cd5f54e7ba	0	26-27 Honduras Home Cheap Soccer Jerseys Yupoo
national	Hungary	2025/26	Home	169.00	219.00			Hungary 2025/26 Home Shirt	hungary-2025-26-home-shirt	1327e707	0	Mens Hungary 2025_26 Home Jersey
